0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
L.A. Clippers,0–2,0–2,1–1,0–2,0–2,2–2,3–1,0–2,1–3,0–4,0–2,—,0–4,1–1,1–1,3–1,1–1,1–1,0–2,2–0,3–1,2–2,2–2,1–3,0–4,0–2,1–3,3–1,1–1
L.A. Lakers,2–0,2–0,0–2,0–2,0–2,4–0,2–2,2–0,3–1,1–3,1–1,4–0,—,2–0,2–0,3–1,2–0,1–1,1–1,1–1,3–1,2–2,3–1,1–3,2–2,2–0,2–2,4–0,1–1
Miami,2–2,1–3,2–2,1–3,3–1,2–0,2–0,3–1,1–1,2–0,0–3,1–1,0–2,—,3–0,1–1,5–0,1–3,1–3,3–1,1–1,0–2,1–1,1–1,0–2,2–1,0–2,1–1,2–2
Milwaukee,2–2,1–3,1–3,0–4,0–4,1–1,1–1,2–2,1–1,0–2,1–3,1–1,0–2,0–3,—,1–1,1–3,2–2,1–3,2–1,0–2,2–0,0–2,1–1,0–2,2–2,0–2,1–1,1–3
Minnesota,1–1,0–2,1–1,0–2,0–2,4–0,0–4,1–1,1–3,2–2,1–1,1–3,1–3,1–1,1–1,—,1–1,0–2,0–2,1–1,1–3,0–4,3–1,1–3,0–4,1–1,1–3,2–2,0–2
New Jersey,0–4,2–2,3–0,0–3,2–1,1–1,2–0,0–4,0–2,0–2,3–1,1–1,0–2,0–5,3–1,1–1,—,2–2,0–4,2–2,0–2,1–1,1–1,0–2,0–2,2–2,0–2,2–0,2–2
New York,1–2,4–0,0–3,1–3,1–3,2–0,1–1,4–0,2–0,2–0,3–1,1–1,1–1,3–1,2–2,2–0,2–2,—,1–3,3–1,0–2,0–2,0–2,1–1,1–1,4–0,1–1,1–1,3–1
Orlando,2–2,3–1,4–0,1–3,2–1,1–1,1–1,3–1,2–0,2–0,2–2,2–0,1–1,3–1,3–1,2–0,4–0,3–1,—,4–0,2–0,1–1,1–1,1–1,1–1,2–1,1–1,2–0,4–0
Philadelphia,1–2,0–4,1–3,0–4,0–4,2–0,0–2,0–4,0–2,0–2,1–3,0–2,1–1,1–3,1–2,1–1,2–2,1–3,0–4,—,0–2,0–2,0–2,0–2,0–2,3–1,1–1,1–1,1–3
Phoenix,2–0,1–1,0–2,1–1,0–2,3–1,1–3,0–2,3–1,1–3,1–1,1–3,1–3,1–1,2–0,3–1,2–0,2–0,0–2,2–0,—,2–2,2–2,1–3,0–4,2–0,1–3,4–0,2–0
Portland,0–2,2–0,1–1,0–2,1–1,4–0,4–0,0–2,3–1,2–2,1–1,2–2,2–2,2–0,0–2,4–0,1–1,2–0,1–1,2–0,2–2,—,1–3,1–3,1–3,2–0,1–3,2–2,0–2
Sacramento,0–2,0–2,1–1,0–2,1–1,2–2,4–0,1–1,3–1,2–2,2–0,2–2,1–3,1–1,2–0,1–3,1–1,2–0,1–1,2–0,2–2,3–1,—,1–3,0–4,2–0,0–4,2–2,0–2
San Antonio,2–0,2–0,2–0,0–2,2–0,2–2,4–0,0–2,3–1,3–1,1–1,3–1,3–1,1–1,1–1,3–1,2–0,1–1,1–1,2–0,3–1,3–1,3–1,—,2–2,2–0,3–1,4–0,1–1
Seattle,2–0,2–0,2–0,1–1,2–0,2–2,3–1,1–1,4–0,4–0,0–2,4–0,2–2,2–0,2–0,4–0,2–0,1–1,1–1,2–0,4–0,3–1,4–0,2–2,—,1–1,3–1,3–1,1–1
Toronto,0–4,1–3,1–3,1–3,1–3,1–1,0–2,0–4,1–1,0–2,0–4,2–0,0–2,1–2,2–2,1–1,2–2,0–4,1–2,1–3,0–2,0–2,0–2,0–2,1–1,—,0–2,1–1,3–1
Utah,1–1,2–0,1–1,0–2,2–0,3–1,1–3,2–0,3–1,2–2,2–0,3–1,2–2,2–0,2–0,3–1,2–0,1–1,1–1,1–1,3–1,3–1,4–0,1–3,1–3,2–0,—,4–0,1–1
Vancouver,0–2,1–1,0–2,0–2,0–2,0–4,1–3,0–2,0–4,0–4,0–2,1–3,0–4,1–1,1–1,2–2,0–2,1–1,0–2,1–1,0–4,2–2,2–2,0–4,1–3,1–1,0–4,—,0–2
Washington,3–1,2–2,1–3,0–4,1–3,2–0,1–1,2–1,1–1,1–1,0–3,1–1,1–1,2–2,3–1,2–0,2–2,1–3,0–4,3–1,0–2,2–0,2–0,1–1,1–1,1–3,1–1,2–0,—
